STIME          TIME             UID   PID D    BLOCK   SIZE       COMM PATHNAME
451856935639   451856935913     501 24798 R  3964695   4096     Safari ??/Contents/Info.plist
451856936175   451856936410     501 24798 R  3972254   4096     Safari ??/MacOS/SharePointBrowserPlugin
451856936507   451856936806     501 24798 R  3972255   4096     Safari ??/MacOS/SharePointBrowserPlugin
451856937317   451856937543     501 24798 R 29398803   4096     Safari ??/Contents/Info.plist
451856937812   451856938036     501 24798 R 29398804   4096     Safari ??/MacOS/AdobePDFViewerNPAPI
451856938669   451856938897     501 24798 R 59086728   4096     Safari ??/Contents/Info.plist
451856939146   451856939416     501 24798 R 36984459   4096     Safari ??/MacOS/MeetingJoinPlugin
451856939502   451856939765     501 24798 R 36984460   4096     Safari ??/MacOS/MeetingJoinPlugin
451856940260   451856940531     501 24798 R 15005175   4096     Safari ??/Contents/Info.plist
451856940790   451856941016     501 24798 R 15005217   4096     Safari ??/MacOS/CS_ChemDraw_Pro
451856941771   451856941998     501 24798 R  3972405   4096     Safari ??/Contents/Info.plist
451856942362   451856942642     501 24798 R 45901642   8192     Safari ??/Contents/Enabled.plist
451856942936   451856943205     501 24798 R 46337715   4096     Safari ??/lib/libnpjp2.dylib
451857149269   451857149631     501 24798 R 59118419   4096     Safari ??/AddressBookAutoFillCellView.nib/AddressBookAutoFillCellView.nib/..namedfork/rsrc
451857150051   451857150312     501 24798 R 59118435   4096     Safari ??/CreditCardAutoFillCellView.nib/CreditCardAutoFillCellView.nib/..namedfork/rsrc
451857150694   451857150962     501 24798 R 59118433   4096     Safari ??/CredentialListCommandAutoFillCellView.nib/CredentialListCommandAutoFillCellView.nib/..namedfork/rsrc
451857151629   451857151872     501 24798 R 59118441   4096     Safari ??/PasswordGenerationAssistanceAutoFillCellView.nib/PasswordGenerationAssistanceAutoFillCellView.nib/..namedfork/rsrc
451857152210   451857152533     501 24798 R 59118431   4096     Safari ??/CaptionAutoFillCellView.nib/CaptionAutoFillCellView.nib/..namedfork/rsrc
451857153427   451857153686     501 24798 R 59118439   4096     Safari ??/OneTimeCodeAutoFillCellView.nib/OneTimeCodeAutoFillCellView.nib/..namedfork/rsrc
451857400967   451857401226     501 24798 R 21119805   4096     Safari ??/dyld/dyld_shared_cache_x86_64
451858332201   451858332603     501 24798 W 33302541   4096     Safari ??/Images/CDACD3BD8A43FD41221D988AF35F362A.png
451858381218   451858381347     501 24798 W 25258027   8192     Safari ??/Images/F156D5B5031A7759F68DE035E3285B92.png
451862174011   451862175752     501 24798 R 33302556   4096     Safari ??/Touch_Icons_Cache/TouchIconCacheSettings.db-wal
451862177440   451862177599     501 24798 W 33302907   4096     Safari ??/Images/AB3201C6103205C14F6E56B11B2FCD46.png
451862400425   451862400648     501 24798 W 33302908   4096     Safari ??/(A_Document_Being_Saved_By_Safari)/TopSites.plist
451863299977   451863301413     501 24798 W 18958090   4096     Safari ??/LocalStorage/https_www.google.com_0.localstorage-wal
451863322943   451863323477     501 24798 R 33290191  12288     Safari ??/LocalStorage/https_www.google.com_0.localstorage-shm
451863323675   451863324183     501 24798 R 33290194  16384     Safari ??/LocalStorage/https_www.google.com_0.localstorage-shm
451865047581   451865047741     501 24798 W 33302909   8192     Safari ??/(A_Document_Being_Saved_By_Safari)/CacheSettings.plist
451866580433   451866582008     501 24798 W 33302911   4096     Safari ??/(A_Document_Being_Saved_By_Safari)/SearchDescriptions.plist
451873204956   451873205205     501 24798 R 59118419   4096     Safari ??/AddressBookAutoFillCellView.nib/AddressBookAutoFillCellView.nib/..namedfork/rsrc
451873205542   451873205752     501 24798 R 59118435   4096     Safari ??/CreditCardAutoFillCellView.nib/CreditCardAutoFillCellView.nib/..namedfork/rsrc
451873206039   451873206283     501 24798 R 59118433   4096     Safari ??/CredentialListCommandAutoFillCellView.nib/CredentialListCommandAutoFillCellView.nib/..namedfork/rsrc
451873206613   451873206874     501 24798 R 59118441   4096     Safari ??/PasswordGenerationAssistanceAutoFillCellView.nib/PasswordGenerationAssistanceAutoFillCellView.nib/..namedfork/rsrc
451873207178   451873207419     501 24798 R 59118431   4096     Safari ??/CaptionAutoFillCellView.nib/CaptionAutoFillCellView.nib/..namedfork/rsrc
451873208025   451873208248     501 24798 R 59118439   4096     Safari ??/OneTimeCodeAutoFillCellView.nib/OneTimeCodeAutoFillCellView.nib/..namedfork/rsrc
451881879107   451881880663     501 24798 R 59118419   4096     Safari ??/AddressBookAutoFillCellView.nib/AddressBookAutoFillCellView.nib/..namedfork/rsrc
