STIME          TIME             UID   PID D    BLOCK   SIZE       COMM PATHNAME
514308210284   514308211747     501 50029 W 32510501  12288    firefox ??/entries/DA3CE81C53F214EA6D35A821E09417D6416E7E3F
514308211002   514308211814     501 50029 W 52783470   4096    firefox ??/entries/02A8E3DC19ED36E65F0944AE20FBA028B9496AD9
514308211199   514308211874     501 50029 W 24454345   8192    firefox ??/entries/02A8E3DC19ED36E65F0944AE20FBA028B9496AD9
514308371280   514308373151     501 50029 R 32161371  32768    firefox ??/z05qnvsv.default/favicons.sqlite
514308373697   514308374012     501 50029 R 25965498   4096    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308374161   514308374433     501 50029 R 25965506   4096    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308374595   514308374857     501 50029 R 25965514   4096    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308375003   514308375257     501 50029 R 25965522   4096    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308375455   514308375740     501 50029 R 25965530   4096    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308375942   514308376218     501 50029 R 25965538   4096    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308376387   514308376638     501 50029 R 25968356   4096    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308376761   514308376991     501 50029 R 25968364   4096    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308377117   514308377349     501 50029 R 25968372   4096    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308377429   514308377962     501 50029 W 25965498 167936    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308377465   514308378084     501 50029 W 25968349  98304    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308378633   514308378879     501 50029 R 25968380   4096    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308378970   514308379194     501 50029 R 25968388   4096    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308379294   514308379492     501 50029 R 25968396   4096    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308379557   514308379862     501 50029 W 25968372 102400    firefox ??/z05qnvsv.default/favicons.sqlite-wal
514308611103   514308611339     501 50029 W 52783471   4096    firefox ??/entries/837D8EDFB55CD53D376588201FB3B91E184F4A7E
514308611281   514308611430     501 50029 W 52783472   4096    firefox ??/entries/C1CBE485B67A977C8317C42CF9CE17DD8F5589E6
514308642570   514308642793     501 50029 W 52783473   8192    firefox ??/entries/DFB2F3316604831FDCF85B3610388A714602BA95
514308642807   514308642973     501 50029 W 32510507  12288    firefox ??/entries/DFB2F3316604831FDCF85B3610388A714602BA95
514308666362   514308666731     501 50029 W 52783475  24576    firefox ??/entries/B053DB552F342EA69DAC632A66736B49DC08C162
514308666684   514308666916     501 50029 W 32510525  12288    firefox ??/entries/B053DB552F342EA69DAC632A66736B49DC08C162
514308677957   514308678300     501 50029 W 52783481  61440    firefox ??/entries/32396D52486D0A818028C634C0515506ADD7341C
514308678175   514308678384     501 50029 W 24454347   8192    firefox ??/entries/32396D52486D0A818028C634C0515506ADD7341C
514308751984   514308752301     501 50029 W 52783496  12288    firefox ??/entries/81342F5706BCCEBAC8810ECEACE7DD652A59C81E
514308814706   514308815135     501 50029 W 52783499  16384    firefox ??/entries/C2D75B7FE4DF4C942BED3512DEC9EA15DDEE9622
514308814865   514308815201     501 50029 W 24454349   8192    firefox ??/entries/C2D75B7FE4DF4C942BED3512DEC9EA15DDEE9622
514308851875   514308852035     501 50029 W 52783503  12288    firefox ??/entries/F7F561120824A525A58A14C81DBD4C6B2FF4B38E
514308852055   514308852179     501 50029 W 18944805   4096    firefox ??/entries/F7F561120824A525A58A14C81DBD4C6B2FF4B38E
514308870974   514308871299     501 50029 R 24454072   8192    firefox ??/entries/591D9D0AEC16A3AB94FFD6EF567175987CE2B5E5
514308871520   514308871763     501 50029 R 52271188   4096    firefox ??/entries/591D9D0AEC16A3AB94FFD6EF567175987CE2B5E5
514308872263   514308872479     501 50029 R 52271187   4096    firefox ??/entries/591D9D0AEC16A3AB94FFD6EF567175987CE2B5E5
514308877050   514308877281     501 50029 W 52271188   4096    firefox ??/entries/591D9D0AEC16A3AB94FFD6EF567175987CE2B5E5
514308877230   514308877404     501 50029 W 24454072   8192    firefox ??/entries/591D9D0AEC16A3AB94FFD6EF567175987CE2B5E5
