STIME          TIME             UID   PID D    BLOCK   SIZE       COMM PATHNAME
513592940963   513592941201     501 50029 R 52406512   4096    firefox ??/entries/1CD2B406383FF05BAC6613B015105DCDA319D674
513592941516   513592941767     501 50029 R 52149569   4096    firefox ??/entries/CE12BB78AD54ED1D9D4D5B34118761B2FA0C8845
513592946887   513592947129     501 50029 R 18948883   4096    firefox ??/entries/BE25C651B6B69AF55C82026F7C69A8E8E5728DB8
513592947223   513592947428     501 50029 R 52149567   4096    firefox ??/entries/BE25C651B6B69AF55C82026F7C69A8E8E5728DB8
513592952173   513592952456     501 50029 R 52411090   4096    firefox ??/entries/1EDFBACAF35E7EA6C16ADFE467CB598923B3D32F
513592983427   513592983835     501 50029 R 52149564   4096    firefox ??/4267008305/salt
513592983921   513592984034     501 50029 W 52411953   4096    firefox ??/entries/1CD2B406383FF05BAC6613B015105DCDA319D674
513592984060   513592984201     501 50029 W 24454165   8192    firefox ??/entries/1CD2B406383FF05BAC6613B015105DCDA319D674
513592984144   513592984275     501 50029 W 52411954   4096    firefox ??/entries/BE25C651B6B69AF55C82026F7C69A8E8E5728DB8
513592984284   513592984394     501 50029 W 18953294   4096    firefox ??/entries/BE25C651B6B69AF55C82026F7C69A8E8E5728DB8
513592989508   513592989617     501 50029 W 52411955   4096    firefox ??/entries/CE12BB78AD54ED1D9D4D5B34118761B2FA0C8845
513592989652   513592989779     501 50029 W 24454167   8192    firefox ??/entries/CE12BB78AD54ED1D9D4D5B34118761B2FA0C8845
513592993694   513592994057     501 50029 R 32167491  20480    firefox ??/entries/5E4954707B44E5A4B4ACF5F22B52219A1DCA477F
513592993761   513592994377     501 50029 R 52043113 122880    firefox ??/entries/5E4954707B44E5A4B4ACF5F22B52219A1DCA477F
513592994713   513592995024     501 50029 R 32510802   8192    firefox ??/entries/1B647A4FF40F1C0B611185DFA015F3C40F2B918C
513592995143   513592995218     501 50029 R 32510801   4096    firefox ??/entries/1B647A4FF40F1C0B611185DFA015F3C40F2B918C
513592995110   513592995335     501 50029 R 52149570   4096    firefox ??/entries/1B647A4FF40F1C0B611185DFA015F3C40F2B918C
513592996871   513592997001     501 50029 W 52149570   4096    firefox ??/entries/1B647A4FF40F1C0B611185DFA015F3C40F2B918C
513592996933   513592997094     501 50029 W 32510801  12288    firefox ??/entries/1B647A4FF40F1C0B611185DFA015F3C40F2B918C
513592997036   513592997146     501 50029 W 52411956   4096    firefox ??/entries/1EDFBACAF35E7EA6C16ADFE467CB598923B3D32F
513592997171   513592997309     501 50029 W 24454169   8192    firefox ??/entries/1EDFBACAF35E7EA6C16ADFE467CB598923B3D32F
513592997266   513592997356     501 50029 W 52043142  12288    firefox ??/entries/5E4954707B44E5A4B4ACF5F22B52219A1DCA477F
513593151355   513593151699     501 50029 R 24453926   4096    firefox ??/entries/80FB54A5B4D7B23AD642509467717E00C37CE9AF
513593151959   513593152219     501 50029 R 24453925   4096    firefox ??/entries/80FB54A5B4D7B23AD642509467717E00C37CE9AF
513593151880   513593152234     501 50029 R 52149573   4096    firefox ??/entries/80FB54A5B4D7B23AD642509467717E00C37CE9AF
513593153667   513593153919     501 50029 W 52149573   4096    firefox ??/entries/80FB54A5B4D7B23AD642509467717E00C37CE9AF
513593153822   513593154016     501 50029 W 24453925   8192    firefox ??/entries/80FB54A5B4D7B23AD642509467717E00C37CE9AF
513593155159   513593155458     501 50029 R 24453927   8192    firefox ??/entries/2DD6BFF0857C273D300DC263D8147278D22761FE
513593155550   513593155777     501 50029 R 52149574   4096    firefox ??/entries/2DD6BFF0857C273D300DC263D8147278D22761FE
513593161400   513593161739     501 50029 R 24453923   8192    firefox ??/entries/C84D723EB771E6DD2A5DC564D510ECEC384F490A
513593161835   513593162040     501 50029 R 52149572   4096    firefox ??/entries/C84D723EB771E6DD2A5DC564D510ECEC384F490A
513593179336   513593179668     501 50029 R 32510811   8192    firefox ??/entries/F6A167A395AF849AC41664415352589789CBCFA6
513593180039   513593180247     501 50029 R 52149591   4096    firefox ??/entries/F6A167A395AF849AC41664415352589789CBCFA6
513593180075   513593180301     501 50029 R 32510810   4096    firefox ??/entries/F6A167A395AF849AC41664415352589789CBCFA6
513593180688   513593181203     501 50029 R 52149576  61440    firefox ??/entries/F6A167A395AF849AC41664415352589789CBCFA6
513593181578   513593181818     501 50029 R 24453932   4096    firefox ??/entries/6BCCA1965050DD92C5A2D8AC124DA55D1E9D9AEF
513593182116   513593182328     501 50029 R 52149622   4096    firefox ??/entries/6BCCA1965050DD92C5A2D8AC124DA55D1E9D9AEF
513593182149   513593182546     501 50029 R 24453931   4096    firefox ??/entries/6BCCA1965050DD92C5A2D8AC124DA55D1E9D9AEF
513593183523   513593184051     501 50029 R 52149606  65536    firefox ??/entries/6BCCA1965050DD92C5A2D8AC124DA55D1E9D9AEF
513593184693   513593184988     501 50029 R 32510855   8192    firefox ??/entries/C09E9576ED4CDBE970FC79A4C3D796D525FBB164
