# nodes min max
53 50097 50097
53 50097 50097
53 50098 50098
53 50098 50098
54 8064 8066
54 8066 8066
54 8066 8066
54 8068 8068
54 8068 8068
55 8067 8067
55 8067 8067
55 8067 8068
55 8068 8068
55 8068 8068
56 8152 8152
56 8153 8153
56 8155 8156
56 8157 8157
56 8157 8157
57 8163 8163
57 8164 8164
57 8164 8164
57 8165 8165
57 8166 8166
57 8166 8166
58 8359 8360
58 8361 8361
58 8361 8362
58 8363 8364
59 8479 8479
59 8479 8480
59 8482 8482
59 8482 8482
60 8510 8510
60 8510 8510
61 8512 8512
61 8512 8513
62 8744 8747
62 8747 8747
62 8749 8750
62 8750 8750
63 8748 8748
63 8748 8749
63 8750 8750
63 8750 8750
64 8784 8787
64 8787 8787
64 8789 8790
64 8789 8790
65 8788 8788
65 8789 8789
65 8790 8790
65 8790 8790
66 8795 8796
66 8796 8796
66 8798 8798
66 8798 8798
67 8797 8797
67 8797 8798
67 8799 8799
67 8799 8799
68 8845 8845
68 8845 8846
68 8850 8850
68 8850 8851
69 8848 8849
69 8849 8849
69 8851 8851
69 8851 8851
70 8899 8899
70 8899 8899
70 8902 8902
70 8902 8902
71 8900 8901
71 8901 8901
71 8902 8902
71 8902 8902
72 8906 8906
72 8906 8906
72 8907 8907
72 8907 8907
73 8918 8919
73 8919 8919
73 8921 8921
73 8921 8921
74 8920 8920
74 8920 8921
74 8922 8922
74 8922 8922
75 8923 8923
75 8923 8923
75 8924 8924
75 8924 8924
76 8941 8941
76 8941 8941
76 8942 8943
76 8942 8943
77 8961 8961
77 8961 8962
77 8962 8962
77 8962 8962
78 8973 8973
78 8973 8974
78 8974 8975
78 8975 8975
79 9033 9034
79 9034 9034
79 9035 9035
79 9035 9035
79 13301 13301
79 13301 13301
79 16555 16556
79 16555 16556
80 9075 9075
80 9075 9075
81 9641 9642
81 9642 9643
82 9698 9698
82 9698 9698
82 9699 9699
82 9701 9701
83 10031 10031
83 10031 10032
83 10032 10033
83 10034 10034
84 10114 10114
84 10114 10114
84 10114 10115
84 10115 10116
84 10115 10116
85 10138 10138
85 10138 10139
85 10138 10139
85 10139 10139
85 10139 10140
86 10143 10143
86 10143 10143
86 10143 10143
86 10146 10146
86 10146 10147
87 10144 10144
87 10144 10144
87 10144 10144
87 10147 10147
87 10147 10147
88 10145 10145
88 10145 10146
88 10145 10146
88 10147 10148
88 10148 10148
89 10235 10235
89 10235 10235
89 10235 10235
89 10236 10236
89 10238 10238
89 10238 10238
90 10237 10237
90 10237 10237
90 10238 10239
90 10239 10239
91 10244 10244
91 10244 10245
91 10244 10245
91 10254 10255
91 10255 10255
92 10246 10246
92 10247 10247
92 10246 10247
92 10251 10251
92 10255 10255
92 10255 10255
93 10291 10291
93 10291 10292
93 10295 10295
93 10295 10295
93 15263 15263
93 15263 15263
94 10329 10329
94 10329 10330
94 10329 10330
94 10331 10331
94 10334 10334
94 10334 10334
95 10330 10331
95 10332 10332
95 10332 10332
95 10333 10333
95 10334 10334
95 10334 10334
96 10331 10332
96 10332 10333
96 10332 10333
96 10334 10334
96 10334 10335
97 10349 10349
97 10349 10350
98 10364 10364
98 10364 10364
99 10372 10373
99 10373 10373
100 10373 10373
100 10373 10373
101 10379 10379
101 10379 10379
102 10386 10386
102 10386 10386
103 10421 10421
103 10421 10421
104 10484 10484
104 10484 10484
105 10530 10531
105 10531 10531
105 10531 10531
105 10532 10532
105 10532 10532
106 10556 10556
106 10556 10557
106 10556 10557
106 10557 10558
106 10558 10558
106 10558 10558
107 10580 10580
107 10580 10580
108 10610 10610
108 10611 10611
108 10651 10651
108 10651 10651
109 10635 10635
109 10635 10635
110 10637 10637
110 10637 10637
111 10638 10638
111 10638 10638
112 10639 10639
112 10639 10639
113 10640 10640
113 10640 10640
